iter	RMSE
0	14.4923276
1	14.11827887
2	13.75284714
3	13.3956383
4	13.05307087
5	12.78218697
6	12.48201636
7	12.21465859
8	11.96426616
9	11.66797385
10	11.391715
11	11.17102413
12	10.913715
13	10.68930167
14	10.45654489
15	10.22565854
16	10.01949086
17	9.822956796
18	9.619360146
19	9.430870104
20	9.281694959
21	9.113404073
22	8.94500731
23	8.793019273
24	8.630272362
25	8.5003523
26	8.369503374
27	8.260951519
28	8.131026643
29	8.015048666
30	7.912883092
31	7.805473921
32	7.691592862
33	7.599874496
34	7.497061039
35	7.399256776
36	7.30730812
37	7.219026836
38	7.140512971
39	7.065685571
40	6.997025167
41	6.926483874
42	6.855663895
43	6.78651326
44	6.721455101
45	6.657234066
46	6.601495932
47	6.544090986
48	6.488515521
49	6.434344782
50	6.380878173
51	6.330657649
52	6.290370317
53	6.24513215
54	6.200717579
55	6.165499153
56	6.126653501
57	6.089678647
58	6.060670921
59	6.028901125
60	5.994357316
61	5.965875684
62	5.937260276
63	5.906209494
64	5.877855172
65	5.853056033
66	5.828027321
67	5.801332293
68	5.781427993
69	5.755703602
70	5.734364743
71	5.710230058
72	5.693304667
73	5.674569544
74	5.658222454
75	5.641165378
76	5.626100509
77	5.607638586
78	5.591330669
79	5.574869562
80	5.566017978
81	5.550805795
82	5.535612943
83	5.522509872
84	5.515432363
85	5.503136676
86	5.491952721
87	5.480695664
88	5.471355396
89	5.460463611
90	5.448725853
91	5.439436918
92	5.427217463
93	5.420755639
94	5.411127583
95	5.3999851
96	5.387589469
97	5.378015946
98	5.370845932
99	5.359586046
100	5.353534539
101	5.341408913
102	5.334223841
103	5.329289946
104	5.318669035
105	5.306982459
106	5.294726131
107	5.286084543
108	5.27920039
109	5.27308451
110	5.265134118
111	5.258041308
112	5.25176229
113	5.244552458
114	5.23499868
115	5.227397425
116	5.222719642
117	5.218911508
118	5.210007688
119	5.201701721
120	5.195462851
121	5.190989965
122	5.185415617
123	5.177527885
124	5.171851256
125	5.165528563
126	5.159239705
127	5.15454292
128	5.147510414
129	5.142122093
130	5.136781573
131	5.131164664
132	5.121758016
133	5.111840894
134	5.105260491
135	5.099402311
136	5.092457766
137	5.0857291
138	5.081968196
139	5.078269671
