iter	RMSE
140	5.072973597
141	5.068876056
142	5.068246069
143	5.063206207
144	5.057167998
145	5.053524674
146	5.04929817
147	5.045131844
148	5.041902768
149	5.036804854
150	5.032531122
151	5.029185728
152	5.022587811
153	5.018414399
154	5.015112024
155	5.008525176
156	5.002749349
157	4.998987636
158	4.994122841
159	4.987789468
160	4.984386955
161	4.98128461
162	4.978210035
163	4.975177608
164	4.969172546
165	4.963328406
166	4.959424563
167	4.955983999
168	4.95084735
169	4.94743737
170	4.942119628
171	4.93736404
172	4.930834045
173	4.927370314
174	4.92526872
175	4.923440312
176	4.918478808
177	4.914581438
178	4.907399851
179	4.90153919
180	4.896045017
181	4.892061597
182	4.887166717
183	4.883618872
184	4.876579193
185	4.87017044
186	4.864765545
187	4.85808944
188	4.849410707
189	4.845901823
190	4.841847743
191	4.836355667
192	4.831028184
193	4.826537226
194	4.821651479
195	4.818915909
196	4.815039261
197	4.809504401
198	4.806526577
199	4.802695751
200	4.797135684
201	4.790630303
202	4.787216115
203	4.782326188
204	4.776809531
205	4.771507444
206	4.769213202
207	4.765576577
208	4.761372763
209	4.757271604
210	4.754016658
211	4.750597856
212	4.742543939
213	4.73646074
214	4.731792253
215	4.72964102
216	4.725412656
217	4.718396408
218	4.714700793
219	4.708962315
220	4.706729528
221	4.702577679
222	4.699159741
223	4.69132488
224	4.684433427
225	4.678553656
226	4.674983569
227	4.671602504
228	4.66768183
229	4.665539776
230	4.6610475
231	4.65433488
232	4.649317488
233	4.647354001
234	4.64383915
235	4.639917076
236	4.636375639
237	4.635292466
238	4.630555382
239	4.629597569
240	4.625977865
241	4.621260478
242	4.615035728
243	4.612261965
244	4.60903483
245	4.606952444
246	4.599065816
247	4.593546869
248	4.588799515
249	4.585546293
250	4.582475896
251	4.5790178
252	4.576114846
253	4.571984564
254	4.566074059
255	4.56099485
256	4.557554175
257	4.552623074
258	4.549319276
259	4.54626267
260	4.545546258
261	4.541376977
262	4.539550562
263	4.534368357
264	4.532444049
265	4.526098569
266	4.522360086
267	4.517266567
268	4.516426829
269	4.512115011
270	4.509600115
271	4.507749961
272	4.50084544
273	4.49812403
274	4.493310437
275	4.48838252
276	4.485614483
277	4.483554391
278	4.482450235
279	4.481994912
280	4.476243009
281	4.471514441
282	4.468562551
283	4.466591722
284	4.465811037
285	4.462051277
286	4.457601865
287	4.453990334
288	4.452275934
289	4.449465658
290	4.443886377
291	4.439302581
292	4.437697573
293	4.436946571
294	4.4343188
295	4.430434463
296	4.424785022
297	4.422529373
298	4.419884268
299	4.41692654
300	4.414566088
301	4.410622852
302	4.406430139
303	4.403523653
304	4.39789457
305	4.396630987
306	4.393044345
307	4.391435678
308	4.391045567
309	4.388969351
310	4.383816851
311	4.383246974
312	4.378746612
313	4.374535998
314	4.369230773
315	4.36414054
316	4.361633844
317	4.358176946
318	4.354094038
319	4.349635409
320	4.347371588
321	4.345496662
322	4.343491406
323	4.338556233
324	4.335347928
325	4.334713075
326	4.331112264
327	4.330600804
328	4.329122739
329	4.324693313
330	4.321225581
331	4.316557318
332	4.314759193
333	4.31390107
334	4.310170155
335	4.30552027
336	4.302242775
337	4.29898619
338	4.298631074
339	4.29724301
340	4.291495288
341	4.289526841
342	4.28591747
343	4.282953355
344	4.278550073
345	4.274203107
346	4.273878132
347	4.273561979
348	4.268666432
349	4.265686089
350	4.26262923
351	4.260060136
352	4.255768609
353	4.250244918
354	4.246461302
355	4.241464772
356	4.239666448
357	4.236410107
358	4.231507262
359	4.230163711
360	4.229716829
361	4.225956898
362	4.220801044
363	4.220451349
364	4.217177216
365	4.215492958
366	4.212064072
367	4.20865571
368	4.205895947
369	4.205609754
370	4.200498304
371	4.196009771
372	4.194309506
373	4.194018651
374	4.190845577
375	4.18896938
376	4.186948806
377	4.182456285
378	4.1810933
379	4.177839622
380	4.173415924
381	4.169596936
382	4.163240081
383	4.160156976
384	4.158670028
385	4.157112112
386	4.154418799
387	4.154122218
388	4.149348639
389	4.146560777
390	4.142880971
391	4.138190667
392	4.13169069
393	4.130937308
394	4.12692486
395	4.126664744
396	4.125015806
397	4.122622225
398	4.122355739
399	4.118858637
400	4.116485565
401	4.113814887
402	4.110323288
403	4.110046253
404	4.107871833
405	4.10457687
406	4.100701567
407	4.097208044
408	4.095472804
409	4.089818272
410	4.085323987
411	4.084924653
412	4.082517434
413	4.082004211
414	4.079406561
415	4.07577068
416	4.071007391
417	4.067368542
418	4.065129515
419	4.060990069
420	4.056960386
421	4.055151973
422	4.052916629
423	4.04986114
424	4.047698839
425	4.044377013
426	4.042293597
427	4.040267657
428	4.038062082
429	4.035406375
430	4.03511734
431	4.033483792
432	4.03274171
433	4.030271307
434	4.029852713
435	4.027756393
436	4.027214509
437	4.022932536
438	4.02011515
439	4.016974266
440	4.013247779
441	4.012653305
442	4.01080951
443	4.010440301
444	4.007142752
445	4.001890187
446	3.999679131
447	3.995368057
448	3.990551754
449	3.986207579
450	3.983191767
451	3.977268576
452	3.973226746
453	3.969657814
454	3.965623154
455	3.961866947
456	3.959773539
457	3.956534743
458	3.956134364
459	3.954038054
460	3.950258578
461	3.947520028
462	3.945462622
463	3.94335222
464	3.941921924
465	3.935060194
466	3.933910874
467	3.933698759
468	3.931210718
469	3.927875785
470	3.92545747
471	3.922674072
472	3.919136971
473	3.916186693
474	3.914939641
475	3.91255576
476	3.909345925
477	3.905373704
478	3.904275576
479	3.902384086
480	3.899102106
481	3.897729965
482	3.895861157
483	3.892883307
484	3.891780732
485	3.890732897
486	3.886742145
487	3.883210681
488	3.882170271
489	3.878361989
490	3.873262107
491	3.871846438
492	3.868379048
493	3.868158727
494	3.866170895
495	3.863809648
496	3.862328915
497	3.858555517
498	3.855000092
499	3.850962614
500	3.848647083
501	3.848451002
502	3.845197049
503	3.844865814
504	3.844475803
505	3.843363043
506	3.842391649
507	3.838529059
508	3.834308972
509	3.832735508
510	3.831012599
511	3.827265075
512	3.824149035
513	3.823950884
514	3.822230135
515	3.821172919
516	3.820969579
517	3.818790059
518	3.815026635
519	3.81154432
520	3.8114045
521	3.808609381
522	3.808387494
523	3.807159481
524	3.806965424
525	3.806602388
526	3.8054858
527	3.803388778
528	3.802657033
529	3.800423673
530	3.800139806
531	3.798264428
532	3.794849788
533	3.793379372
534	3.790593693
535	3.786802883
536	3.785109365
537	3.783635452
538	3.780788098
539	3.778136784
540	3.775629434
541	3.773136087
542	3.771759969
543	3.768035231
544	3.765369754
545	3.761182867
546	3.760773118
547	3.757626999
548	3.755200835
549	3.751713502
550	3.750431162
551	3.747702593
552	3.745586475
553	3.743939395
554	3.740301047
555	3.738373491
556	3.738143786
557	3.73466089
558	3.734475425
559	3.732016865
560	3.730505666
561	3.728225689
562	3.726983338
563	3.724139247
564	3.722987718
565	3.72280552
566	3.720178879
567	3.718969986
568	3.718778315
569	3.716679216
570	3.716537492
571	3.713748254
572	3.711755696
573	3.710761279
574	3.70889837
575	3.706029314
576	3.701935715
577	3.699483357
578	3.69712463
579	3.69557974
580	3.69219938
581	3.689479094
582	3.687752676
583	3.687602897
584	3.686529705
585	3.68437071
586	3.683017302
587	3.678680187
588	3.675793466
589	3.675003294
590	3.672344383
591	3.668944161
592	3.667920471
593	3.666724042
594	3.666518095
595	3.661189753
596	3.65824778
597	3.65487776
598	3.652765353
599	3.65157185
600	3.649632904
601	3.646969419
602	3.646004751
603	3.645799638
604	3.644874797
605	3.644719797
606	3.642673066
607	3.640625932
608	3.639877046
609	3.636328746
610	3.635713293
611	3.634695434
612	3.632884719
613	3.63118591
614	3.630750252
615	3.628801157
616	3.627501041
617	3.625519824
618	3.623717119
619	3.620806517
620	3.619905601
621	3.619169127
622	3.61898214
623	3.616619528
624	3.614761729
625	3.614644714
626	3.612376133
627	3.61100838
628	3.609277246
629	3.606539888
630	3.60525607
631	3.604410983
632	3.601399294
633	3.597730832
634	3.592618851
635	3.592354423
636	3.590669231
637	3.588523883
638	3.585187816
639	3.58370251
640	3.582213986
641	3.579623824
642	3.578769043
643	3.576761921
644	3.574292079
645	3.571959678
646	3.568841097
647	3.567985872
648	3.567034614
649	3.565977743
650	3.562720306
651	3.559729226
652	3.558299541
653	3.55698611
654	3.556448331
655	3.552845209
656	3.552704821
657	3.551193927
658	3.549833203
659	3.54676857
660	3.542452125
661	3.537930061
662	3.533657408
663	3.533466976
664	3.532492046
665	3.530257905
666	3.529878255
667	3.528191924
668	3.527167933
669	3.526111361
670	3.523338333
671	3.521097256
672	3.519204293
673	3.517772155
674	3.517724409
675	3.515689186
676	3.512066166
677	3.511062548
678	3.508178231
679	3.50548369
680	3.502462212
681	3.500686596
682	3.49962029
683	3.499496202
684	3.498086422
685	3.49627398
686	3.496092895
687	3.495364434
688	3.494495225
689	3.494381217
690	3.490268707
691	3.489183407
692	3.48574869
693	3.485623026
694	3.483880522
695	3.48211903
696	3.478717512
697	3.477575734
698	3.475869085
699	3.475224214
700	3.474541212
701	3.47249925
702	3.47119968
703	3.469335496
704	3.46915299
705	3.467933922
706	3.467632602
707	3.467343244
708	3.466986015
709	3.463742117
710	3.461744586
711	3.459639707
712	3.458154779
713	3.455506126
714	3.453129684
715	3.45230545
716	3.451754989
717	3.448299774
718	3.443347431
719	3.442933606
720	3.439133673
721	3.436915538
722	3.435015016
723	3.434251591
724	3.434107771
725	3.432486659
726	3.432269283
727	3.431533071
728	3.429205462
729	3.425548527
730	3.423101216
731	3.421865597
732	3.418246574
733	3.41714855
734	3.415647963
735	3.414277925
736	3.41271568
737	3.411036572
738	3.409962891
739	3.408919517
740	3.406670982
741	3.406085046
742	3.405969838
743	3.404572907
744	3.403058017
745	3.400185315
746	3.399430626
747	3.398085058
748	3.397354288
749	3.396660426
750	3.392528083
751	3.391523537
752	3.386143036
753	3.385992694
754	3.381286761
755	3.378707781
756	3.376923768
757	3.374473865
758	3.373017936
759	3.371302484
760	3.369690782
761	3.36912833
762	3.366550176
763	3.364513979
764	3.361794156
765	3.358268465
766	3.357507843
767	3.357410016
768	3.35558677
769	3.352243613
770	3.350076845
771	3.349500012
772	3.348013124
773	3.346343126
774	3.346235243
775	3.345204776
776	3.343851395
777	3.342777873
778	3.339989039
779	3.338849816
780	3.337554635
781	3.335900009
782	3.335727682
783	3.335638028
784	3.333895653
785	3.331980177
786	3.331277039
787	3.329075066
788	3.328998101
789	3.328338315
790	3.326453975
791	3.325873425
792	3.32557947
793	3.324296582
794	3.324138934
795	3.320955623
796	3.31803304
797	3.315454747
798	3.314907265
799	3.312904945
800	3.31132701
801	3.311190787
802	3.306925416
803	3.306160799
804	3.304359004
805	3.301679335
806	3.299346911
807	3.297635492
808	3.29601089
809	3.29485445
810	3.292779402
811	3.291881575
812	3.291085316
813	3.290552314
814	3.289541601
815	3.289176527
816	3.286801488
817	3.285426925
818	3.283830189
819	3.283030057
820	3.281947467
821	3.281032911
822	3.279815519
823	3.278398784
824	3.276419222
825	3.274739333
826	3.273921889
827	3.272481552
828	3.27162639
829	3.269386292
830	3.269229436
831	3.267591659
832	3.267466361
833	3.26681133
834	3.265527387
835	3.263838293
836	3.263104833
837	3.26045097
838	3.257420674
839	3.256657519
840	3.25533937
841	3.253166615
842	3.252923151
843	3.251581288
844	3.249314788
845	3.248036117
846	3.245731568
847	3.244342243
848	3.240832384
849	3.240225648
850	3.238216438
851	3.237644231
852	3.23716846
853	3.237086318
854	3.236495908
855	3.236406187
856	3.236308469
857	3.233802383
858	3.232108594
859	3.23148162
860	3.230197266
861	3.229583221
862	3.226578895
863	3.226213258
864	3.226127765
865	3.225152427
866	3.224989835
867	3.224235798
868	3.223568885
869	3.22222909
870	3.222063845
871	3.222004288
872	3.220416644
873	3.220006996
874	3.218889928
875	3.218741824
876	3.217463662
877	3.214981647
878	3.214128286
879	3.210672414
880	3.210436551
881	3.20654398
882	3.204058964
883	3.203628435
884	3.202626676
885	3.202315929
886	3.20059721
887	3.19949587
888	3.19853963
889	3.196701791
890	3.193698369
891	3.190295048
892	3.19019079
893	3.189721323
894	3.188910039
895	3.188419453
896	3.18828376
897	3.18701923
898	3.186085108
899	3.185025834
900	3.183117326
901	3.181675124
902	3.179166589
903	3.178981829
904	3.176963913
905	3.176176875
906	3.17566634
907	3.17478197
908	3.173874353
909	3.173455888
910	3.173393568
911	3.170933188
912	3.167758801
913	3.166156921
914	3.163676264
915	3.163143605
916	3.16123494
917	3.160036723
918	3.159658442
919	3.159531492
920	3.156633458
921	3.156500001
922	3.153994394
923	3.152530533
924	3.149778729
925	3.149624593
926	3.149364219
927	3.14874481
928	3.148231177
929	3.148124448
930	3.148080057
931	3.145314267
932	3.144167374
933	3.143278638
934	3.140636435
935	3.140205356
936	3.139774383
937	3.13784108
938	3.135810234
939	3.135310432
940	3.134347028
941	3.13254333
942	3.129949738
943	3.127889108
944	3.126228876
945	3.125589661
946	3.125485599
947	3.124477139
948	3.123765535
949	3.122644637
950	3.120247422
951	3.119842384
952	3.11689818
953	3.116179411
954	3.114937071
955	3.114881695
956	3.114043491
957	3.112596884
958	3.110386405
959	3.10824138
960	3.107502032
961	3.106078211
962	3.104767007
963	3.104387886
964	3.103291636
965	3.102403358
966	3.099472166
967	3.0984023
968	3.097824546
969	3.096897892
970	3.095646839
971	3.095396508
972	3.095340558
973	3.094493481
974	3.094447807
975	3.09307894
976	3.092141448
977	3.090467053
978	3.088921068
979	3.0888783
980	3.087637236
981	3.085460138
982	3.084227557
983	3.081736779
984	3.081641476
985	3.080513806
986	3.079571095
987	3.076502687
988	3.074442053
989	3.074168673
990	3.074087027
991	3.072972945
992	3.072873266
993	3.071162104
994	3.069218591
995	3.068989919
996	3.06614182
997	3.06546129
998	3.063954669
999	3.063104767
